,TIME_PERIOD,Sector,OBS_VALUE
465,2004,Primary education,67.044806
466,2004,Privatisation,0.482505
467,2004,Production sectors,155.144309
468,2004,Promotion of development awareness (non-sector allocable),0.023556
469,2004,Public finance management (PFM),108.529952
470,2004,Public sector policy and administrative management,93.637601
471,2004,Radio/television/print media,0.567418
472,2004,Reconstruction relief and rehabilitation,0.241735
473,2004,Refugees in donor countries,7.641547
474,2004,Refugees/asylum seekers  in donor countries (non-sector allocable),7.641547
475,2004,Removal of land mines and explosive remnants of war,2.201995
476,2004,Reproductive health care,18.285535
477,2004,Rescheduling and refinancing,0.629565
478,2004,Research/scientific institutions,2.66946
479,2004,River basins development,2.223626
480,2004,Road transport,154.449954
481,2004,Rural development,38.894795
482,2004,STD control including HIV/AIDS,77.239835
483,2004,Secondary education,7.440563
484,2004,Sector allocable,1200.25065
485,2004,Sectors not specified,34.453584
486,2004,Small and medium-sized enterprises (SME) development,0.711947
487,2004,Social infrastructure and services,731.124985
488,2004,Social mitigation of HIV/AIDS,0.007092
489,2004,Social protection,53.08357
490,2004,Statistical capacity building,3.00767
491,2004,Teacher training,4.045845
492,2004,Technological research and development,0.019816
493,2004,Telecommunications,0.339858
494,2004,Tourism,0.103868
495,2004,Tourism policy and administrative management,0.103868
496,2004,Trade policies and regulations,0.193156
497,2004,Trade policy and administrative management,0.193156
498,2004,Transport and storage,159.328821
499,2004,Transport policy and administrative management,3.28803
500,2004,Unallocated / unspecified,34.47714
501,2004,Upper secondary education,1.008314
502,2004,Urban development and management,0.273459
503,2004,Vocational training,6.432249
504,2004,Waste management/disposal,0.51955
505,2004,Water resources conservation (including data collection),0.583153
506,2004,Water sector policy and administrative management,8.965076
507,2004,Water supply & sanitation,33.799925
508,2004,Water supply and sanitation - large systems,14.784463
509,2004,Wind energy,0.150231
510,2004,"Women's rights organisations and movements, and government institutions",3.820164
511,2005,Action relating to debt,224.808514
512,2005,Administrative costs (non-sector allocable),2.602164
513,2005,Administrative costs of donors,2.602164
514,2005,Advanced technical and managerial training,0.49215
515,2005,Agricultural co-operatives,0.02926
516,2005,Agricultural development,26.859783
517,2005,Agricultural education/training,0.133848
518,2005,Agricultural extension,3.898998
519,2005,Agricultural financial services,0.031302
520,2005,Agricultural inputs,3.641267
521,2005,Agricultural land resources,6.699891
522,2005,Agricultural policy and administrative management,9.642488
523,2005,Agricultural research,2.560875
524,2005,Agricultural services,1.749061
525,2005,Agricultural water resources,12.031609
526,2005,Agriculture,76.513221
527,2005,"Agriculture, forestry, fishing",79.872177
528,2005,Agro-industries,0.01987
529,2005,Air transport,0.00102
530,2005,All sectors,2430.023057
531,2005,Banking and financial services,8.828509
532,2005,Basic drinking water supply and basic sanitation,9.448713
