,Year,Country,교육_초등학교 순취학률_ODA,교육_초등학교 이수율_ODA,보건_영아 사망률_ODA,보건_신생아 사망률_ODA,보건_기대 수명_ODA,생산_서비스업 부가가치_ODA,생산_제조업 부가가치_ODA,생산_농작물 생산지수_ODA,생산_가축 생산지수_ODA,경제_1인당 GDP_ODA,빈곤 및 사회복지_빈곤율_ODA,빈곤 및 사회복지_1인당 GNI_ODA,빈곤 및 사회복지_의료 접근성_ODA,환경/기후_재생 에너지 사용률_ODA,환경/기후_대기오염 지수_ODA,환경/기후_CO2 배출량_ODA,new_cases_per_million,new_deaths_per_million,stringency_index,natural_disaster_count,log_battle_deaths,정부효율성,실업률,소득 불평등,정치 안정성,도시화율,환경적 지속가능성,인구밀도,산림면적 비율,농업 부가가치 비중,산업 부가가치 비중,작물 생산 지수,식량 생산 지수,"연간 물가상승률 (CPI 기준, %)",GDP 대비 공교육 지출 비율 (%),"인구 1,000명당 간호사 및 조산사 수",GDP 대비 보건 지출 비율 (%),정부예산 중 교육비 비중,중등학교 총등록률
36,2014,Eswatini,5.224018,5.224018,5.540562,3.293648,2.246914,0.155396,0.023576,8.652406,8.652406,14.276128,10.282082,6.6690380000000005,49.149626000000005,0.472457,0.472457,0.472457,0.0,0.0,0.0,1.0,0.0,-0.495312958955765,23.828,,-0.500559747219086,23.149,1.76,66.0638953488372,28.505,8.20320667537832,36.1594083271285,101.71,101.58,5.68134885776447,7.07059001922607,3.417,7.25596571,24.7954406738281,76.6210098266602
37,2014,Ethiopia,366.871549,366.871549,495.687098,456.616819,39.070279,11.3867,17.716833,341.779738,341.779738,455.873316,364.329659,138.253516,603.359218,275.307569,275.307569,275.307569,0.0,0.0,0.0,0.0,3.2580965380214817,-0.443245232105255,2.359,,-1.3393874168396,18.998,2.13,89.598740246565,15.5125439694869,38.5204496889284,13.4713245062584,95.98,96.71,6.89001951597192,4.79265069961548,,4.03365517,25.9183807373047,
38,2014,Fiji,7.010980000000001,7.010980000000001,14.895883,10.657497,4.238386,0.621575,0.134856,3.968692,3.968692,9.99501,26.548689,17.500479,8.867403000000001,0.259143,0.259143,0.259143,0.0,0.0,0.0,0.0,0.0,-0.400987982749939,4.325,,0.553164601325989,54.216,,50.2235905856596,60.2049261083744,8.0985227018506,15.0127657452154,107.17,107.58,0.519306474579194,3.76960921287537,,3.36860466,16.1755752563477,88.2670005042338
39,2014,Gabon,1.7779189999999998,1.7779189999999998,4.247346,2.317234,1.930112,0.816094,0.200656,6.421693,6.421693,106.089608,20.71711,2.36436,24.296823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.606707334518433,19.916,,0.149542808532715,87.651,1.79,7.67803391935421,91.5973221562464,3.62120476996243,52.7222416503812,99.09,99.11,4.69045751826284,2.66667008399963,,2.53282261,11.225489616394,
40,2014,Georgia,37.473423,37.473423,10.501956,7.667716,2.83424,33.791915,42.88982,20.913575,20.913575,366.524604,243.505697,145.538203,72.349507,6.613288,6.613288,6.613288,0.0,0.0,0.0,1.0,0.0,0.424183517694473,17.439,37.6,-0.321507543325424,57.067,16.52,65.0725007872914,40.6159159591308,9.2042368072631,18.1712886955425,100.78,100.2,3.06881210379543,2.99768662452698,4.085,7.75487041,12.5074939727783,105.019508361816
41,2014,Ghana,45.209847,45.209847,178.121272,136.603675,41.517597,14.53802,40.393699,150.537153,150.537153,426.900503,192.488345,86.780395,164.82618,20.022656,20.022656,20.022656,0.0,0.0,0.0,1.0,0.0,-0.307953178882599,4.415,,-0.106807962059975,53.419,8.01,123.238076821658,34.6881339544695,19.5837731324669,33.8982030516643,99.33,99.06,15.4896160333318,3.68234825134277,1.327,4.01644135,20.9851398468018,63.5854490919068
42,2014,Grenada,2.341408,2.341408,0.078247,0.0,0.078247,2.098802,2.098802,0.0,0.0,7.429301,2.3158600000000003,2.2966620000000004,0.019198,15.954185,15.954185,15.954185,0.0,0.0,0.0,0.0,0.0,-0.0554382465779781,,,0.774568855762482,35.938,,335.682352941176,52.0588235294118,6.10189188310633,12.8104378636674,94.36,95.2,-0.98360305555498,4.47756576538086,,4.77353573,11.7989988327026,103.310699462891
43,2014,Guatemala,48.555084,48.555084,46.1209,26.516251,19.604649,7.429162,8.558946,38.626517,38.626517,32.882298,124.391407,102.633329,36.55313,14.838977,14.838977,14.838977,0.0,0.0,0.0,5.0,0.0,-0.762856304645538,2.717,48.3,-0.655563533306122,49.634,5.43,146.339352370287,33.7174318775663,10.0744835169507,23.1927167312783,96.52,96.82,3.4183616966296,2.98562002182007,0.956,5.8885684,18.5160884857178,53.089958190918
44,2014,Guinea,11.281797,11.281797,155.842237,107.112439,48.729798,0.016694,1.675181,8.287968,8.287968,49.659991,78.17818,59.630709,39.437651,108.608467,108.608467,108.608467,0.0,0.0,0.0,1.0,0.0,-1.23807573318481,5.09,,-0.95524275302887,34.836,,46.6910467198437,26.1476477291226,17.5238169176245,29.6941648521559,95.56,95.45,6.1505055670642,2.42281007766724,0.555,4.787992,11.9895095825195,38.9089202880859
45,2014,Guinea-Bissau,12.137253,12.137253,23.426198,12.871162,10.555036,0.013169,0.671334,4.057488,4.057488,4.291425,19.716821,14.6808,8.199227,21.647911,21.647911,21.647911,0.0,0.0,0.0,0.0,0.0,-1.64483594894409,3.254,,-0.706451654434204,41.715,,61.9175675675676,72.2138691322902,34.8258068713683,14.6822693955448,93.88,95.56,-1.50924460570494,,0.508,9.96897411,,
